link_stats_id, link_id, timestamp, PacketsReceived, PacketsSent, BytesReceived, BytesSent, PacketsRxDropped, PacketsTxDropped, PacketsRxErrors, PacketsTxErrors
of:000000000000000c_1_2024-08-05 14:10:42,of:000000000000000c_1,2024-08-05 14:10:42,3727569.0,3713614.0,409019974.0,392248759.0,0.0,0.0,0.0,0.0
of:000000000000000c_2_2024-08-05 14:10:42,of:000000000000000c_2,2024-08-05 14:10:42,1414969.0,2301041.0,134259634.0,258104434.0,0.0,0.0,0.0,0.0
of:000000000000000c_3_2024-08-05 14:10:42,of:000000000000000c_3,2024-08-05 14:10:42,1415199.0,2313093.0,134278345.0,275676838.0,0.0,0.0,0.0,0.0
of:000000000000000d_1_2024-08-05 14:10:42,of:000000000000000d_1,2024-08-05 14:10:42,3716326.0,3757847.0,391517029.0,457111526.0,0.0,0.0,0.0,0.0
of:000000000000000d_2_2024-08-05 14:10:42,of:000000000000000d_2,2024-08-05 14:10:42,1447325.0,2301559.0,181561342.0,258146742.0,0.0,0.0,0.0,0.0
of:000000000000000d_3_2024-08-05 14:10:42,of:000000000000000d_3,2024-08-05 14:10:42,1427069.0,2301320.0,151839138.0,258130969.0,0.0,0.0,0.0,0.0
of:000000000000000a_1_2024-08-05 14:10:42,of:000000000000000a_1,2024-08-05 14:10:42,9385220.0,9371289.0,945915671.0,929142782.0,0.0,0.0,0.0,0.0
of:000000000000000a_2_2024-08-05 14:10:42,of:000000000000000a_2,2024-08-05 14:10:42,1415461.0,2301558.0,134281026.0,258128164.0,0.0,0.0,0.0,0.0
of:000000000000000a_3_2024-08-05 14:10:42,of:000000000000000a_3,2024-08-05 14:10:42,7072376.0,7970219.0,671150780.0,812548607.0,0.0,0.0,0.0,0.0
of:000000000000000b_1_2024-08-05 14:10:42,of:000000000000000b_1,2024-08-05 14:10:42,3716108.0,3713974.0,391473430.0,392256004.0,0.0,0.0,0.0,0.0
of:000000000000000b_2_2024-08-05 14:10:42,of:000000000000000b_2,2024-08-05 14:10:42,1415012.0,2301058.0,134261944.0,258104308.0,0.0,0.0,0.0,0.0
